article_id,article_desc
Article 10 Indian Constitution,continuance right citizenship every person deem citizen India forego provision Part shall  subject provision law may make Parliament  continue citizen
Article 11 Indian Constitution,parliament regulate right citizenship law nothing forego provision part shall derogate power Parliament make provision respect acquisition termination citizenship matter relate citizenship part iii fundamental right general
Article 12 Indian Constitution,definition part  unless context otherwise require  State include Government Parliament India Government Legislature States local authority within territory India control Government India
Article 13 Indian Constitution,law inconsistent derogation fundamental right ( 1 ) law force territory India immediately commencement Constitution  far inconsistent provision Part  shall  extent inconsistency  void ( 2 ) state shall make law take away abridge right confer Part law make contravention clause shall  extent contravention  void ( 3 ) article  unless context otherwise require law include Ordinance  order  bye law  rule  regulation  notification  custom usage territory India force law  law force include law pass make Legislature competent authority territory India commencement Constitution previously repeal  notwithstanding law part thereof may operation either particular area ( 4 ) nothing article shall apply amendment Constitution make Article 368 right equality
Article 14 Indian Constitution,equality law State shall deny person equality law equal protection law within territory India prohibition discrimination ground religion  race  caste  sex place birth
Article 15 Indian Constitution,prohibition discrimination ground religion  race  caste  sex place birth ( 1 ) state shall discriminate citizen ground religion  race  caste  sex  place birth ( 2 ) citizen shall  ground religion  race  caste  sex  place birth they  subject disability  liability  restriction condition regard ( a ) access shop  public restaurant  hotel palace public entertainment  ( b ) use well  tank  bathing ghat  road place public resort maintain wholly partly state fund dedicated use general public ( 3 ) nothing article shall prevent state make special provision woman child ( 4 ) nothing article clause ( 2 ) article 29 shall prevent state make special provision advancement socially educationally backward class citizen schedule Castes schedule Tribes
Article 16 Indian Constitution,equality opportunity matter public employment ( 1 ) shall equality opportunity citizen matter relate employment appointment office state ( 2 ) citizen shall  ground religion  race  caste  sex  descent  place birth  residence they  ineligible for  discriminated respect or  employment office state ( 3 ) nothing article shall prevent Parliament make law prescribing  regard class class employment appointment office Government of  local authority within  State Union territory  requirement residence within State Union territory prior employment appointment ( 4 ) nothing article shall prevent state make provision reservation appointment post favor backward class citizen which  opinion State  adequately represent service state ( 5 ) nothing article shall affect operation law provide incumbent office connection affair religious denominational institution member govern body thereof shall person profess particular religion belong particular denomination
Article 17 Indian Constitution,Abolition Untouchability Untouchability abolish practice form forbid enforcement disability arise Untouchability shall offence punishable accordance law
Article 18 Indian Constitution,abolition title title  military academic distinction  shall confer State citizen India shall accept title foreign State person citizen India shall  hold office profit trust State  accept without consent President title foreign State person hold office profit trust State shall  without consent President  accept present  emolument  office kind foreign State Right Freedom
Article 19 Indian Constitution,protection certain right regard freedom speech etc ( 1 ) citizen shall right ( a ) freedom speech expression  ( b ) assemble peaceably without arm  ( c ) form association union  ( d ) move freely throughout territory India  ( e ) reside settle part territory India  ( f ) omit ( g ) practise profession  carry occupation  trade business ( 2 ) nothing sub clause ( a ) clause ( 1 ) shall affect operation exist law  prevent state making law  far law impose reasonable restriction exercise right conferred say sub clause interest sovereignty integrity India  security State  friendly relation foreign States  public order  decency morality relation contempt court  defamation incitement offence ( 3 ) nothing sub clause ( b ) say clause shall affect operation exist law far impose  prevent state make law impose  interest sovereignty integrity India public order  reasonable restriction exercise right conferred say sub clause ( 4 ) nothing sub clause ( c ) say clause shall affect operation exist law far impose  prevent state make law impose  interest sovereignty integrity India public order morality  reasonable restriction exercise right conferred say sub clause ( 5 ) nothing sub clause ( d ) ( e ) say clause shall affect operation exist law far impose  prevent state make law impose  reasonable restriction exercise right confer say sub clause either interest general public protection interest schedule Tribe ( 6 ) nothing sub clause ( g ) say clause shall affect operation exist law far impose  prevent state make law imposing  interest general public  reasonable restriction exercise right conferred say sub clause  and  particular  nothing say sub clause shall affect operation exist law far relate to  prevent state making law relate to  ( i ) professional technical qualification necessary practise profession carry occupation  trade business  ( ii ) carry State  corporation own control State  trade  business  industry service  whether exclusion  complete partial  citizen otherwise
Article 20 Indian Constitution,protection respect conviction offence ( 1 ) person shall convict offence except violation law force time commission act charge offence  subject penalty great might inflict law force time commission offence ( 2 ) person shall prosecute punish offence ( 3 ) person accuse offence shall compel witness
Article 21 Indian Constitution,protection life personal liberty person shall deprive life personal liberty except accord procedure establish law
Article 22 Indian Constitution,protection arrest detention certain case ( 1 ) person arrest shall detain custody without informed  soon may be  ground arrest shall deny right consult  defend by  legal practitioner choice ( 2 ) every person arrest detain custody shall produce near magistrate within period twenty four hour arrest exclude time necessary journey place arrest court magistrate person shall detain custody beyond say period without authority magistrate ( 3 ) nothing clause ( 1 ) ( 2 ) shall apply ( a ) person time enemy alien  ( b ) person arrest detain law provide preventive detention ( 4 ) law provide preventive detention shall authorise detention person long period three month unless ( a ) Advisory Board consist person be  be  qualify appoint as  Judges High Court report expiration say period three month opinion sufficient cause detention  ( 5 ) person detain pursuance order make law provide preventive detention  authority make order shall  soon may be  communicate person ground order make shall afford early opportunity make representation order ( 6 ) nothing clause ( 5 ) shall require authority make order refer clause disclose fact authority consider public interest disclose ( 7 ) Parliament may law prescribe ( a ) circumstance which  class class case which  person may detain period long three month law provide preventive detention without obtain opinion Advisory Board accordance provision sub clause ( a ) clause ( 4 )  ( b ) maximum period person may class class case detain law provide preventive detention  ( c ) procedure follow Advisory Board inquiry sub clause ( a ) clause ( 4 ) Right Exploitation
Article 23 Indian Constitution,prohibition traffic human being force labour ( 1 ) traffic human being begar similar form force labour prohibit contravention provision shall offence punishable accordance law ( 2 ) nothing article shall prevent State impose compulsory service public purpose  impose service State shall make discrimination ground religion  race  caste class
Article 24 Indian Constitution,prohibition employment child factory  etc child age fourteen year shall employ work factory mine engage hazardous employment provide nothing sub clause shall authorise detention person beyond maximum period prescribe law make Parliament sub clause ( b ) clause ( 7 )  person detain accordance provision law make Parliament sub clause ( a ) ( b ) clause ( 7 )
Article 25 Indian Constitution,freedom conscience free profession  practice propagation religion ( 1 ) subject public order  morality health provision part  person equally entitle freedom conscience right freely profess  practise propagate religion ( 2 ) nothing article shall affect operation exist law prevent state making law ( a ) regulate restrict economic  financial  political secular activity may associate religious practice  ( b ) provide social welfare reform throw open hindu religious institution public character class section Hindus Explanation wear carry kirpan shall deem include profession Sikh religion Explanation II sub clause ( b ) clause reference Hindus shall construe include reference person profess Sikh  Jaina Buddhist religion  reference hindu religious institution shall construe accordingly
Article 26 Indian Constitution,freedom manage religious affair subject public order  morality health  every religious denomination section thereof shall right ( a ) establish maintain institution religious charitable purpose  ( b ) manage affair matter religion  ( c ) acquire movable immovable property  ( d ) administer property accordance law
Article 27 Indian Constitution,freedom payment taxis promotion particular religion person shall compel pay taxis  proceed specifically appropriate payment expense promotion maintenance particular religion religion denomination
Article 28 Indian Constitution,freedom attendance religious instruction religious worship certain educational institution ( 1 ) religion instruction shall provide educational institution wholly maintain State fund ( 2 ) nothing clause ( 1 ) shall apply educational institution administer State establish endowment trust require religious instruction shall impart institution ( 3 ) person attend educational institution recognise State receive aid state fund shall require take part religious instruction may impart institution attend religious worship may conduct institution premise attach thereto unless person or  person minor  guardian give consent thereto Cultural Educational Rights
Article 29 Indian Constitution,protection interest minority ( 1 ) section citizen reside territory India part thereof distinct language  script culture shall right conserve ( 2 ) citizen shall deny admission educational institution maintain State receive aid state fund ground religion  race  caste  language
Article 30 Indian Constitution,right minority establish administer educational institution ( 1 ) minority  whether base religion language  shall right establish administer educational institution choice ( 1A ) make law provide compulsory acquisition property educational institution establish administer minority  refer clause ( 1 )  State shall ensure amount fix determined law acquisition property would restrict abrogate right guarantee clause ( 2 ) state shall not  grant aid educational institution  discriminate educational institution ground management minority  whether base religion language
Article 31A Indian Constitution,save law provide acquisition estate  etc ( 1 ) notwithstanding anything contain Article 13  law provide ( a ) acquisition State estate right therein extinguishment modification right  ( b ) take management property state limit period either public interest order secure proper management property  ( c ) amalgamation two corporation either public interest order secure proper management corporation  ( d ) extinguishment modification right manage agent  secretary treasurer  manage director  director manager corporation  voting right shareholder thereof  ( e ) extinguishment modification right accrue virtue agreement  lease licence purpose search for  win  mineral mineral oil  premature termination cancellation agreement  lease licence  shall deem void ground inconsistent with  take away abridge right confer Article 14 article 19  provide law law make Legislature State  provision article shall apply thereto unless law  reserved consideration President  receive assent  provide law make provision acquisition State estate land comprise therein hold person personal cultivation  shall lawful State acquire portion land within ceiling limit applicable law time force building structure standing thereon appurtenant thereto  unless law relate acquisition land  building structure  provide payment compensation rate shall less market value thereof
Article 31B Indian Constitution,validation certain act Regulations without prejudice generality provision contain Article 31a  none act Regulations specify ninth Schedule provision thereof shall deem void  ever become void  ground Act  Regulation provision inconsistent with  take away abridge right confer by  provision Part  notwithstanding judgment  decree order court tribunal contrary  say Acts Regulations shall  subject power competent Legislature repeal amend it  continue force
Article 31C Indian Constitution,save law give effect certain directive principle notwithstanding anything contain Article 13  law give effect policy state towards secure principle lay Part IV shall deem void ground inconsistent with  take away abridge right confer Article 14 article 19 law contain declaration give effect policy shall call question court ground give effect policy  provide law make Legislature State  provision article shall apply thereto unless law  reserved consideration President  receive assent right Constitutional Remedies
Article 32 Indian Constitution,remedy enforcement right confer Part ( 1 ) right move Supreme Court appropriate proceeding enforcement right confer Part guarantee ( 2 ) Supreme Court shall power issue direction order writ  include writ nature habeas corpus  mandamus  prohibition  quo warranto certiorari  whichever may appropriate  enforcement right confer Part ( 3 ) without prejudice power confer Supreme Court clause ( 1 ) ( 2 )  Parliament may law empower court exercise within local limit jurisdiction power exercisable Supreme Court clause ( 2 ) ( 4 ) right guarantee article shall suspend except otherwise provide Constitution
Article 33 Indian Constitution,power Parliament modify right confer part application etc Parliament may  law  determine extent right confer Part shall  application to  ( a ) member Armed Forces  ( b ) member Forces charge maintenance public order  ( c ) person employ bureau organisation establish State purpose intelligence counter intelligence  ( d ) person employ in  connection with  telecommunication system set purpose Force  bureau organisation refer clause ( a ) ( c )  restrict abrogate ensure proper discharge duty maintenance discipline among
Article 34 Indian Constitution,restriction right confer Part martial law force area notwithstanding anything forego provision Part  Parliament may law indemnify person service Union State person respect act do connection maintenance restoration order area within territory India martial law force validate sentence pass  punishment inflict  forfeiture order act do martial law area
Article 35 Indian Constitution,legislation give effect provision Part Notwithstanding anything Constitution  ( a ) Parliament shall have  Legislature State shall have  power make law ( i ) respect matter clause ( 3 ) article 16  clause ( 3 ) article 32  article 33 article 34 may provide law make Parliament  ( ii ) prescribe punishment act declare offence Part  Parliament shall  soon may commencement Constitution  make law prescribe punishment act refer sub clause ( ii )  ( b ) law force immediately commencement Constitution territory India respect matter refer sub clause ( i ) clause ( a ) provide punishment act refer sub clause ( ii ) clause shall  subject term adaptation modification may make therein Article 372  continue force alter repeal amend Parliament Explanation article  expression law force mean Article 372 part iv directive PRINCIPLES STATE POLICY
Article 36 Indian Constitution,Definition Part  unless context otherwise require  State mean Part III
Article 37 Indian Constitution,application principle contain Part provision contain Part shall enforceable court  principle therein lay nevertheless fundamental governance country shall duty State apply principle make law
Article 38 Indian Constitution,state secure social order promotion welfare people ( 1 ) state shall strive promote welfare people secure protect effectively may social order justice  social  economic political  shall inform institution national life ( 2 ) state shall  particular  strive minimize inequality income  endeavor eliminate inequality status  facility opportunity  amongst individual also amongst group people reside different area engage different vocation
Article 39 Indian Constitution,certain principle policy follow state  state shall  particular  direct policy towards securing ( a ) citizen  man woman equally  right adequate mean livelihood  ( b ) ownership control material resource community distribute good subserve common good  ( c ) operation economic system result concentration wealth mean production common detriment  ( d ) equal pay equal work man woman  ( e ) health strength worker  man woman  tender age child abuse citizen force economic necessity enter avocation unsuited age strength  ( f ) child give opportunity facility develop healthy manner condition freedom dignity childhood youth protect exploitation moral material abandonment
Article 39A Indian Constitution,equal justice free legal aid state shall secure operation legal system promote justice  basis equal opportunity  shall  particular  provide free legal aid  suitable legislation scheme way  ensure opportunity secure justice deny citizen reason economic disability
Article 40 Indian Constitution,organisation village panchayat State shall take step organize village panchayat endow power authority may necessary enable function unit self government
Article 41 Indian Constitution,right work  education public assistance certain case state shall  within limit economic capacity development  make effective provision secure right work  education public assistance case unemployment  old age  sickness disablement  case undeserved want
Article 42 Indian Constitution,provision humane condition work maternity relief state shall make provision secure humane condition work maternity relief
Article 43 Indian Constitution,live wage  etc  worker State shall endeavour secure  suitable legislation economic organisation way  worker  agricultural  industrial otherwise  work  living wage  condition work ensure decent standard life full enjoyment leisure social cultural opportunity and  particular  State shall endeavour promote cottage industry individual co operative basis rural area
Article 43A Indian Constitution,participation worker management industry State shall take step  suitable legislation way  secure participation worker management undertaking  establishment organisation engage industry
Article 44 Indian Constitution,uniform civil code citizen State shall endeavour secure citizen uniform civil code throughout territory India
Article 45 Indian Constitution,provision free compulsory education child State shall endeavour provide  within period ten year commencement Constitution  free compulsory education child complete age fourteen year
Article 46 Indian Constitution,promotion educational economic interest schedule Castes  schedule Tribes weak section state shall promote special care educational economic interest weak section people  and  particular  schedule Castes schedule Tribes  shall protect social injustice form exploitation
Article 47 Indian Constitution,Duty State raise level nutrition standard living improve public health state shall regard raise level nutrition standard live people improvement public health among primary duty and  particular  State shall endeavour bring prohibition consumption except medicinal purpose intoxicate drink drug injurious health
Article 48 Indian Constitution,organisation agriculture animal husbandry State shall endeavour organise agriculture animal husbandry modern scientific line shall  particular  take step preserve improving breed  prohibit slaughter  cow calf milch draught cattle
Article 48A Indian Constitution,protection improvement environment safeguard forest wild life State shall endeavour protect improve environment safeguard forest wild life country
Article 49 Indian Constitution,protection monument place object national importance shall obligation state protect every monument place object artistic historic interest  declare law make Parliament national importance  spoliation  disfigurement  destruction  removal  disposal export  case may
Article 50 Indian Constitution,separation judiciary executive State shall take step separate judiciary executive public service state
Article 51 Indian Constitution,promotion international peace security State shall endeavour ( a ) promote international peace security  ( b ) maintain honourable relation nation  ( c ) foster respect international law treaty obligation dealing organise people one another  encourage settlement international dispute arbitration part IVA fundamental duty
Article 51A Indian Constitution,fundamental duty shall duty every citizen India ( a ) abide Constitution respect ideal institution  national Flag National Anthem  ( b ) cherish follow noble ideal inspire national struggle freedom  ( c ) uphold protect sovereignty  unity integrity India  ( d ) defend country render national service call upon so  ( e ) promote harmony spirit common brotherhood amongst people India transcend religious  linguistic regional sectional diversity  renounce practice derogatory dignity woman  ( f ) value preserve rich heritage composite culture  ( g ) protect improve natural environment include forest  lake  river wild life  compassion live creature  ( h ) develop scientific temper  humanism spirit inquiry reform  ( i ) safeguard public property abjure violence  ( j ) strive towards excellence sphere individual collective activity nation constantly rise high level endeavour achievement PART V UNION chapter EXECUTIVE President Vice President
Article 52 Indian Constitution,President India shall President India
Article 53 Indian Constitution,executive power Union ( 1 ) executive power Union shall vest President shall exercise either directly officer subordinate accordance Constitution ( 2 ) without prejudice generality foregoing provision  supreme command Defence Forces Union shall vest President exercise thereof shall regulate law ( 3 ) nothing article shall ( a ) deem transfer President function confer exist law Government State authority  ( b ) prevent Parliament confer law function authority President
Article 54 Indian Constitution,election President President shall elect member electoral college consist elect member Houses Parliament  elect member Legislative Assemblies States
Article 55 Indian Constitution,Manner election President ( 1 ) far practicable  shall uniformity scale representation different States election President ( 2 ) purpose secure uniformity among States inter se well parity b States whole Union  number vote elect member Parliament Legislative Assembly State entitle cast election shall determine follow manner  ( a ) every elect member Legislative Assembly State shall many vote multiple one thousand quotient obtain divide population State total number elect member Assembly  ( b ) if  take say multiple one thousand  remainder less five hundred  vote member refer sub clause ( a ) shall increase one  ( c ) elect member either House Parliament shall number vote may obtain divide total number vote assign member Legislative Assemblies States sub clause ( a ) ( b ) total number elect member Houses Parliament  fraction exceed one half count one fraction disregard ( 3 ) election President shall hold accordance system proportional representation mean single transferable vote voting election shall secret ballot Explanation n article  expression population mean population ascertain last precede census relevant figure publish  provide reference Explanation last precede census relevant figure publish shall  relevant figure first census take year 2000 publish  construe reference 1971 census
Article 56 Indian Constitution,term office President ( 1 ) President shall hold office term five year date enter upon office  provide ( a ) President may  write hand address Vice President  resign office  ( b ) President may  violation constitution  remove office impeachment manner provide Article 61  ( c ) President shall  notwithstanding expiration term  continue hold office successor enter upon office ( 2 ) resignation address Vice President clause ( a ) proviso clause ( 1 ) shall forthwith communicate Speaker House People
Article 57 Indian Constitution,eligibility election person hold  hold  office President shall  subject provision Constitution  eligible election office
Article 58 Indian Constitution,qualification election President ( 1 ) person shall eligible election President unless ( a ) citizen India  ( b ) complete age thirty five year  ( c ) qualified election member House People ( 2 ) person shall eligible election President hold office profit Government State local authority subject control say Governments Explanation purpose article  person shall deem hold office profit reason President Vice President Union Governor State Minister either Union State
Article 59 Indian Constitution,Conditions Presidents office ( 1 ) President shall member either House Parliament House Legislature State  member either House Parliament House Legislature State elect President  shall deem vacate seat House date enter upon office President ( 2 ) President shall hold office profit ( 3 ) President shall entitle without payment rent use official residence shall also entitle emolument  allowance privilege may determine Parliament law and  provision behalf make  emolument  allowance privilege specify second Schedule ( 4 ) emolument allowance President shall ot diminish term office
Article 60 Indian Constitution,oath affirmation President every President every person act President discharge function President shall  enter upon office  make subscribe presence Chief Justice India or  absence  senior Judge Supreme Court available  oath affirmation follow form  say swear name God I  b  olemnly affirm faithfully execute office President ( or discharge function thepresident ) India good ability preserve  protect defend Constitution law devote service well people India
Article 61 Indian Constitution,procedure impeachment President ( 1 ) President impeach violation Constitution  charge shall prefer either House Parliament ( 2 ) charge shall prefer unless ( a ) proposal prefer charge contain resolution move least fourteen day notice writing sign less one fourth total number member House give intention move resolution  ( b ) resolution pass majority less two third total membership House ( 3 ) charge prefer either House Parliament  House shall investigate charge cause charge investigate President shall right appear represent investigation ( 4 ) result investigation resolution pass majority less two third total membership House charge investigate cause investigate  declare charge preferred President sustain  resolution shall effect remove President office date resolution pass
Article 62 Indian Constitution,time hold election fill vacancy office President term office person elect fill casual vacancy ( 1 ) election fill vacancy cause expiration term office President shall complete expiration term ( 2 ) election fill vacancy office President occur reason death  resignation removal  otherwise shall hold soon possible after  case later six month from  date occurrence vacancy  person elect fill vacancy shall  subject provision article 56  entitle hold office full term five year date enter upon office
Article 63 Indian Constitution,Vice President India shall Vice President India
Article 64 Indian Constitution,Vice President ex officio Chairman council States Vice President shall ex officio chairman counsel States shall hold office profit  provide period Vice President act President discharge function President Article 65  shall perform duty office chairman council States shall entitle salary allowance payable chairman council States Article 97
Article 65 Indian Constitution,Vice President act President discharge function casual vacancy office  absence  President ( 1 ) event occurrence vacancy office President reason death  resignation removal  otherwise  Vice President shall act President date new President elect accordance provision chapter fill vacancy enter upon office ( 2 ) President unable discharge function owe absence  illness cause  Vice President shall discharge function date President resume duty ( 3 ) Vice President shall  during  respect of  period act as  discharge function of  President  power immunity President entitle emolument  allowance privilege may determine Parliament law and  provision behalf make  emolument  allowance privilege specify Second Schedule
Article 66 Indian Constitution,Election Vice President ( 1 ) Vice President shall elect member electoral college consist member Houses Parliament accordance system proportional representation mean single transferable vote voting election shall secret ballot ( 2 ) Vice President shall member either House Parliament House Legislature State  member either House Parliament House Legislature State elect Vice President  shall deem vacate seat House date enter upon office Vice President ( 3 ) person shall eligible election Vice President unless ( a ) citizen India  ( b ) complete age thirty five year  ( c ) qualified election member Council States ( 4 ) person shall eligible election Vice President hold office profit Government India Government State local authority subject control say Governments Explanation purpose article  person shall deem hold office profit reason President Vice President Union Governor State Minister either Union State
Article 67 Indian Constitution,term office Vice President Vice President shall hold office term five year date enter upon office  provide ( a ) Vice President may  write hand address President  resign office  ( b ) Vice President may remove office resolution council States pass majority member council agree House People  resolution purpose clause shall move unless least fourteen day notice give intention move reso ( c ) Vice President shall  notwithstanding expiration term  continue hold office successor enter upon office
Article 68 Indian Constitution,time hold election fill vacancy office Vice President term office person elect fill casual vacancy ( 1 ) election fill vacancy cause expiration term office Vice President shall complete expiration term ( 2 ) election fill vacancy office Vice President occur reason death  resignation removal  otherwise shall hold soon possible occurrence vacancy  person elect fill vacancy shall  subject provision article 67  entitle hold office full term five year date enter upon office
Article 69 Indian Constitution,oath affirmation Vice President every Vice President shall  enter upon office  make subscribe President  person appoint behalf he  oath affirmation follow form  say swear name God I  b  solemnly affirm bear true faith  allegiance Constitution India law establish faithfully discharge duty upon enter
Article 70 Indian Constitution,discharge president function contingency Parliament may make provision think fit discharge function President contingency provide chapter
Article 71 Indian Constitution,matter relate to  connect with  election president Vice President ( 1 ) doubt dispute arise connection election president vice President shall inquire decide Supreme court whose decision shall final ( 2 ) election person President Vice President declare void Supreme court  act do exercise performance power duty office President Vice President  case may be  date decision Supreme Court shall invalidate reason declaration ( 3 ) subject provision constitution  Parliament may law regulate matter relate connected election President Vice President ( 4 ) election person President Vice President shall call question ground existence vacancy whatever reason among member electoral college elect
Article 72 Indian Constitution,power President grant pardon  etc  suspend  remit commute sentence certain case ( 1 ) President shall power grant pardon  reprieve  respite remission punishment suspend  remit commute sentence person convict offence ( a ) case punishment sentence court Martial  ( b ) case punishment sentence offence law relate matter executive power Union extend  ( c ) case sentence sentence death ( 2 ) note sub clause ( a ) clause ( 1 ) shall affect power suspend  remit commute sentence death exercisable Governor State law time force
Article 73 Indian Constitution,extent executive power Union ( 1 ) subject provision Constitution  executive power Union shall extend ( a ) matter respect Parliament power make law  ( b ) exercise right  authority jurisdiction exercisable government India virtue treaty agreement  provide executive power refer sub clause ( a ) shall not  save expressly provide constitution law make Parliament  extend state matter respect Legislature State also power make law ( 2 ) otherwise provide Parliament  State officer authority State may  notwithstanding anything article  continue exercise matter respect Parliament power make law state executive power function state officer authority thereof could exercise immediately commencement Constitution Council Ministers
Article 74 Indian Constitution,Council Ministers aid advise President ( 1 ) shall Council Ministers Prime Minister head aid advise President shall  exercise function  act accordance advice  provide President may require council Ministers reconsider advice  either generally otherwise  President shall act accordance advice tender reconsideration ( 2 ) question whether any  what  advice tender Ministers President shall inquire court
Article 75 Indian Constitution,provision Ministers ( 1 ) Prime Minister shall appoint President Ministers shall appoint President advice Prime Minister ( 2 ) Minister shall hold office pleasure President ( 3 ) Council Ministers shall collectively responsible House People ( 4 ) Minister enter upon office  President shall administer oath office secrecy accord form set purpose Third Schedule ( 5 ) Minister period six consecutive month member either House Parliament shall expiration period cease Minister ( 6 ) salary allowance Ministers shall Parliament may time time law determine and  Parliament determine  shall specify Second Schedule Attorney General India
Article 76 Indian Constitution,Attorney General India ( 1 ) President shall appoint person qualified appoint Judge Supreme Court Attorney General India ( 2 ) shall duty Attorney General give advice Government India upon legal matter  perform duty legal character  may time time refer assign President  discharge function confer Constitution law time force ( 3 ) performance dutie Attorney General shall right audience court territory India ( 4 ) Attorney General shall hold office pleasure President  shall receive remuneration President may determine Conduct Government Business
Article 77 Indian Constitution,conduct business Government India ( 1 ) executive action Government India shall express take name President ( 2 ) order instrument make execute name President shall authenticate manner may specify rule make President  validity order instrument authenticate shall call question ground order instrument make execute President ( 3 ) President shall make rule convenient transaction business Government India  allocation among Ministers say business
Article 78 Indian Constitution,duty Prime Minister respect furnish information President  etc shall duty Prime Minister ( a ) communicate President decision council Ministers relate administration affair union proposal legislation  ( b ) furnish information relate administration affair Union proposal legislation President may call for  ( c ) President require  submit consideration Council Ministers matter decision take Minister consider Council CHAPTER II PARLIAMENT general
Article 79 Indian Constitution,Constitution Parliament shall Parliament Union shall consist President two Houses know respectively council States House People
Article 80 Indian Constitution,Composition Council States ( 1 ) Council States shall consist ( a ) twelve member nominate President accordance provision clause ( 3 )  ( b ) two hundred thirty eight representative States Union territory ( 2 ) allocation seat Council States fill representative States Union territory shall accordance provision behalf contain fourth schedule ( 3 ) member nominate President sub clause ( a ) clause ( 1 ) shall consist person special knowledge practical experience respect matter follow  namely  literature  science  art social service ( 4 ) representative State council States shall elect elect member Legislative Assembly State accordance system proportional representation mean single transferable vote ( 5 ) representative Union Territories council States shall choose manner Parliament may law prescribe
Article 81 Indian Constitution,Composition House People ( 1 ) subject provision article 331 House People shall consist ( a ) five hundred thirty member choose direct election territorial constituency States  ( b ) twenty member represent Union territory  choose manner parliament may law provide ( 2 ) purpose sub clause ( a ) clause ( 1 ) ( a ) shall allot State number seat House People manner ratio number population State be  far practicable  States  ( b ) state shall divide territorial constituency manner ratio population constituency th number seat allot be  far practicable  throughout state  provide provision sub clause ( a ) clause shall applicable purpose allotment seat House People State long population State exceed six million ( 3 ) article  expression population mean population ascertain last precede census relevant figure publish  provide reference clause last precede census relevant figure publish shall  relevant figure first census take year 2000 publish  construe reference 1971 census
Article 82 Indian Constitution,readjustment census upon completion census  allocation seat House People States division State territorial constituency shall readjust authority manner Parliament may law determine  provide readjustment shall affect representation House People dissolution exist House  provide readjustment shall take effect date President may  order  specify readjustment take effect  election House may hold basis territorial constituency exist readjustment  provide also relevant figure first census take year 2000 publish  shall necessary readjust allocation seat House People States division state territorial constituency article
Article 83 Indian Constitution,Duration Houses Parliament ( 1 ) council state shall subject dissolution  nearly possible one third member thereof shall retire soon may expiration every second year accordance provision make behalf Parliament law ( 2 ) House People  unless soon dissolve  shall continue five year date appoint first meeting long expiration say period five year shall operate dissolution House  provide say period may  Proclamation Emergency operation  extend Parliament law period exceed one year time extend case beyond period six month Proclamation cease operate
